row_id,arm,supervision,scene,n_px_scored,n_anom,roc_auc,pr_auc,precision,recall,f1,status,note
classical_ae,classical_ae,unsupervised,ang20191004t185054_27,651,251,0.8386553784860568,0.75598893659656,0.04462222222222222,1.0,0.08543226684819606,ok,
classical_ae,classical_ae,unsupervised,ang20191004t215336_11,435,35,0.4430714285714298,0.06797210656506508,0.008544921874999998,1.0,0.016945049624788183,ok,
classical_ae,classical_ae,unsupervised,ang20191004t215336_12,430,30,0.1859999999999999,0.004434363070576743,0.007324218750000003,1.0,0.014541929229277757,ok,
classical_ae,classical_ae,unsupervised,ang20191004t215336_13,445,45,0.7490000000000002,0.45730685884977257,0.010986328125,1.0,0.021733880705143684,ok,
classical_ae,classical_ae,unsupervised,ang20210614t141018_32,470,70,0.8120714285714277,0.30294298729713104,0.0100488084984209,1.0,0.0198976691301876,ok,
classical_ae,classical_ae,unsupervised,ang20210614t141018_33,418,18,0.8305555555555568,0.017315346173987185,0.004394531250000001,1.0,0.008750607681088967,ok,
classical_ae,classical_ae,unsupervised,ang20210614t141018_34,417,17,0.32308823529412073,0.0029829981945398024,0.004150390624999999,1.0,0.008266472161439336,ok,
classical_ae,classical_ae,unsupervised,ang20210614t141018_35,426,26,0.4205769230769268,0.00524251211254188,0.006347656250000002,1.0,0.012615235322658907,ok,
classical_ae,classical_ae,unsupervised,ang20210614t141018_36,441,41,0.5936585365853637,0.014855283755185711,0.010009765624999998,1.0,0.019821126420111187,ok,
classical_ae,classical_ae,unsupervised,ang20210614t141018_37,417,17,0.41102941176470187,0.0014068558794732033,0.0016665032839917656,1.0,0.0033274613427285186,ok,
classical_ae,classical_ae,unsupervised,ang20210614t141018_38,408,8,0.424374999999998,0.0008189567608765005,0.0008,1.0,0.001598721023181455,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_23,474,74,0.6140540540540521,0.0190628436473736,0.015102040816326531,1.0,0.029754724567752314,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_24,411,11,0.822272727272728,0.011282030050126797,0.002692259448148,1.0,0.005370061298029247,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_25,452,52,0.8123076923076933,0.05051936624538665,0.0126953125,1.0,0.02507232401157184,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_26,414,14,0.7792857142857137,0.018736803101215498,0.00341796875,1.0,0.006812652068126521,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_27,427,27,0.7229629629629648,0.015845809630579206,0.006608208496320514,1.0,0.013129653504796885,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_28,443,43,0.49360465116279273,0.014337640641998373,0.010498046875000002,1.0,0.020777965692196185,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_29,458,58,0.7065086206896535,0.26840777798740156,0.01416015625,1.0,0.027924891670678863,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_30,424,24,0.45468749999999847,0.008551304419160577,0.005859374999999999,1.0,0.011650485436893203,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_31,434,34,0.45981617647059,0.021266581902832277,0.00830078125,1.0,0.01646489104116223,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_32,456,56,0.706897321428571,0.37247551292133496,0.013671875000000003,1.0,0.026974951830443166,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_33,469,69,0.6862681159420299,0.05179805945632795,0.017226776152399547,1.0,0.03387008001806404,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20171012t194435_35,429,29,0.41512931034482764,0.005735777852240324,0.007080078124999998,1.0,0.014060606060606056,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20191004t185054_22,446,46,0.016086956521739262,0.0048607541293146745,0.009387755102040816,1.0,0.018600889607763852,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20191004t185054_23,412,12,0.28937500000000016,0.0020613820893214357,0.0029296874999999987,1.0,0.005842259006815966,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20191004t185054_24,453,53,0.7970754716981135,0.3982574923935572,0.012939453125,1.0,0.02554832489756568,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20191004t185054_25,440,40,0.8599999999999993,0.10634023180761204,0.009765625,1.0,0.019342359767891684,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20191004t185054_26,439,39,0.6051923076923066,0.011403713990731557,0.009521484375,1.0,0.018863361547763,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20191004t185054_27,651,251,0.8461852589641441,0.5201600539756991,0.04462222222222222,1.0,0.08543226684819606,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20191004t215336_11,435,35,0.47685714285714387,0.12059187613738097,0.008544921874999998,1.0,0.016945049624788183,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20191004t215336_12,430,30,0.24474999999999983,0.0046498788776597865,0.007324218750000003,1.0,0.014541929229277757,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20191004t215336_13,445,45,0.7041666666666667,0.5097678329293003,0.010986328125,1.0,0.021733880705143684,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20210614t141018_32,470,70,0.9121071428571423,0.45279046265096395,0.0100488084984209,1.0,0.0198976691301876,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20210614t141018_33,418,18,0.8858333333333341,0.3545523668342585,0.00444991069276457,1.0,0.008860393426080323,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20210614t141018_34,417,17,0.844117647058825,0.44079530410206924,0.004150390624999999,1.0,0.008266472161439336,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20210614t141018_35,426,26,0.6007692307692334,0.013815279471186725,0.006379350533043811,1.0,0.012677824777833314,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20210614t141018_36,441,41,0.7925304878048766,0.15743481519946262,0.010009765624999998,1.0,0.019821126420111187,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20210614t141018_37,417,17,0.49911764705882006,0.00167644634804426,0.001674863646394905,1.0,0.0033441263371587512,ok,
classical_ocsvm,classical_ocsvm,unsupervised,ang20210614t141018_38,408,8,0.5731249999999984,0.006514144156314738,0.0008,1.0,0.001598721023181455,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_23,474,74,0.6605067567567553,0.21999798451803232,0.015290282921890415,1.0,0.03012002218298931,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_24,411,11,0.893181818181819,0.19273929080386035,0.002692259448148,1.0,0.005370061298029247,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_25,452,52,0.7878365384615393,0.5881781065846798,0.0126953125,1.0,0.02507232401157184,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_26,414,14,0.6944642857142854,0.40362800984161523,0.00341796875,1.0,0.006812652068126521,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_27,427,27,0.7945370370370378,0.473416870269229,0.006591796875,1.0,0.01309725927722532,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_28,443,43,0.5694767441860478,0.16847064974003467,0.010498046875000002,1.0,0.020777965692196185,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_29,458,58,0.4329741379310319,0.11536823048278091,0.01416015625,1.0,0.027924891670678863,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_30,424,24,0.853229166666666,0.5065484021750836,0.005859374999999999,1.0,0.011650485436893203,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_31,434,34,0.6999264705882362,0.396349274025077,0.00830078125,1.0,0.01646489104116223,ok,
