scene,dataset,detector,standardized,n_px,n_anom,anom_frac,roc_auc,pr_auc,precision,recall,f1,runtime_s,peak_rss_mb,components,status,note
hydice_urban_anomaly,hydice,fused,True,8000,21,0.002625,0.9722247089085039,0.2834161046211497,0.016679904686258934,1.0,0.032812499999999994,0.4920242709995364,187.173837,ace+rx+spatial,ok,
ang20170821t183707_100,had100,global_rx,True,4096,15,0.003662109375,0.9844809278771544,0.5240696204124322,0.046875,1.0,0.08955223880597014,0.21825367700512288,60.082807,,ok,
ang20170821t183707_100,had100,local_rx,True,4096,15,0.003662109375,0.9235644858286368,0.5313564848512067,0.006590509666080844,1.0,0.013094718463553034,0.29469528699701186,35.540142,,ok,
ang20170821t183707_100,had100,kernel_rx,True,4096,15,0.003662109375,0.9731275014293882,0.6302794015147694,0.018292682926829267,1.0,0.03592814371257485,1.1952881979959784,169.712417,,ok,
ang20170821t183707_100,had100,crd,True,4096,15,0.003662109375,0.9636363636363636,0.534966401869315,0.01963350785340314,1.0,0.038510911424903725,29.710907966000377,866.106491,,ok,
ang20170821t183707_100,had100,fused,True,4096,15,0.003662109375,0.994184431920281,0.7157749844742645,0.05639097744360902,1.0,0.10676156583629892,0.9997676459970535,60.093129,ace+index+rx+spatial,ok,
ang20170821t183707_101,had100,global_rx,True,4096,27,0.006591796875,0.997223815115189,0.8230589237904572,0.15168539325842698,1.0,0.2634146341463415,0.19653886599553516,60.082807,,ok,
ang20170821t183707_101,had100,local_rx,True,4096,27,0.006591796875,0.9556538598072144,0.19482046452241897,0.021986970684039087,1.0,0.04302788844621514,0.2561217320035212,35.539515,,ok,
ang20170821t183707_101,had100,kernel_rx,True,4096,27,0.006591796875,0.9996268079335172,0.9579969621777149,0.5294117647058824,1.0,0.6923076923076924,1.3365241620049346,169.712497,,ok,
ang20170821t183707_101,had100,crd,True,4096,27,0.006591796875,0.980075184548028,0.40639887750138437,0.028511087645195353,1.0,0.055441478439425054,30.918101260002004,866.106579,,ok,
ang20170821t183707_101,had100,fused,True,4096,27,0.006591796875,0.9870839136014855,0.5020064770779417,0.0406015037593985,1.0,0.07803468208092486,0.6590711829994689,60.093171,ace+index+rx+spatial,ok,
ang20170821t183707_102,had100,global_rx,True,10000,134,0.0134,0.9896614636124063,0.697119140865788,0.1800818553888131,0.9850746268656716,0.30449826989619383,0.2268737729973509,140.43039,,ok,
ang20170821t183707_102,had100,local_rx,True,10000,134,0.0134,0.9169842304794696,0.5598121573311365,0.019704433497536946,0.9850746268656716,0.038636031025903704,0.3855565419944469,233.855967,,ok,
ang20170821t183707_102,had100,kernel_rx,True,10000,134,0.0134,0.9715712941475472,0.683947304383322,0.03891509433962264,0.9850746268656716,0.07487237663074306,2.3129733030000352,351.750449,,ok,
ang20170821t183707_102,had100,crd,True,10000,134,0.0134,0.9858151468483651,0.6910209511410035,0.09065934065934066,0.9850746268656716,0.1660377358490566,82.67894277499727,931.091387,,ok,
ang20170821t183707_102,had100,fused,True,10000,134,0.0134,0.9325994444965523,0.3262514107366745,0.027830487033523088,0.9850746268656716,0.05413163830223498,1.0771050350012956,233.898158,ace+index+rx+spatial,ok,
ang20170821t183707_103,had100,global_rx,True,4096,11,0.002685546875,0.9928340936908868,0.6448301146976644,0.0728476821192053,1.0,0.13580246913580246,0.09478340000350727,60.082854,,ok,
ang20170821t183707_103,had100,local_rx,True,4096,11,0.002685546875,0.9626794258373206,0.5119466578738676,0.01098901098901099,1.0,0.02173913043478261,0.1536179640024784,35.539418,,ok,
